name,slug,category,latitude,longitude,formatted_address,neighborhood,short_description,full_description,is_indoor,is_outdoor,is_free,price_note,min_age_months,max_age_months,stroller_friendly,changing_table,toilets,shade,water_fountain,accessible,website_url,source_name,source_url,provider,provider_place_id,verification_status,last_verified_at,is_active,image_status
Mandel Library and Culture Center,mandel-library-and-culture-center,library,32.051194,34.760256,"HaTchiya Street 2, Tel Aviv-Yafo, Israel",Jaffa,Municipal public library with children's books and community or cultural programming.,,true,false,,Free library membership for eligible Tel Aviv-Yafo residents.,,,,,,,,,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,,,verified,2026-08-05,true,fallback_only
Neve Eliezer Library,neve-eliezer-library,library,32.0459871,34.8095674,"Sheshet HaYamim Street 6, Tel Aviv-Yafo, Israel",Neve Eliezer,Municipal public library with children's books and community or cultural programming.,,true,false,,Free library membership for eligible Tel Aviv-Yafo residents.,,,,,,,,,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,,,verified,2026-08-05,true,fallback_only
Ramat Aviv Gimel Library,ramat-aviv-gimel-library,library,32.127003,34.805001,"Yehiel Dov Drezner Street 2, Tel Aviv-Yafo, Israel",Ramat Aviv Gimel,Municipal public library with children's books and community or cultural programming.,,true,false,,Free library membership for eligible Tel Aviv-Yafo residents.,,,,,,,,,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,,,verified,2026-08-05,true,fallback_only
ANU – Museum of the Jewish People,anu-museum-of-the-jewish-people,museum,32.1136311,34.8054278,"Klausner Street 15, Tel Aviv-Yafo, Israel",Ramat Aviv,Museum with an interactive Heroes Gallery designed for children ages 6–12 and families.,,true,,false,Admission fees apply; check the official website for current rates.,,,,,,,,true,https://anumuseum.org.il/,ANU – Museum of the Jewish People,https://anumuseum.org.il/plan-your-visit/,apple_maps,IE15A7E7029C5691,verified,2026-08-05,true,rights_review_required
Steinhardt Museum of Natural History,steinhardt-museum-of-natural-history,museum,32.1145607,34.8075717,"Klausner Street 12, Tel Aviv-Yafo, Israel",Ramat Aviv,Natural-history museum suitable for family visits; exhibits focus on biodiversity and nature.,,true,,false,Admission fees apply; advance booking may be required.,,,,,,,,true,https://smnh.tau.ac.il/,Steinhardt Museum of Natural History,https://smnh.tau.ac.il/en/buy-tickets/,apple_maps,I47E7E0FB0BAAABE7,verified,2026-08-05,true,rights_review_required
Nachum Gutman Museum of Art,nahum-gutman-museum-of-art,museum,32.0608187,34.7667234,"Shimon Rokach Street 21, Tel Aviv-Yafo, Israel",Neve Tzedek,Art and cultural museum in Neve Tzedek with changing exhibitions and family programming.,,true,,false,Admission fees apply; check the official website for current rates.,,,,,,,,,https://www.gutmanmuseum.co.il/,Nahum Gutman Museum,https://www.gutmanmuseum.co.il/en/contact/,apple_maps,I2A8721A6BBA552D7,verified,2026-08-05,true,rights_review_required
Ilana Goor Museum,ilana-goor-museum,museum,32.0533095,34.7514161,"Mazal Dagim Street 4, Tel Aviv-Yafo, Israel",Old Jaffa,Art museum in a historic Jaffa building with indoor galleries and rooftop views.,,true,,false,Admission fees apply; family tickets are available.,,,,,,,,,https://www.ilanagoormuseum.org/,Ilana Goor Museum,https://www.ilanagoormuseum.org/en/visiting/,apple_maps,IA1107FC2C9695BA0,verified,2026-08-05,true,rights_review_required
Tel Aviv Port,tel-aviv-port-promenade,attraction,32.099096,34.775714,"Kikar Plumer 14, Tel Aviv-Yafo, Israel",Old North,"Wide waterfront promenade popular with families, scooters and strollers.",,false,true,true,,,,,,,,,,https://www.visit-tel-aviv.com/en/kids/,Visit Tel Aviv,https://www.visit-tel-aviv.com/en/kids/,apple_maps,I862DC24B0D31CF75,verified,2026-08-05,true,rights_review_required
Ganei Yehoshua (Yarkon Park),yarkon-park,park,32.1000848,34.8047311,"Sderot Israel Rokach 40, Tel Aviv-Yafo, Israel",North Tel Aviv,"Large urban park with lawns, paths and multiple family attractions.",,false,true,true,,,,,,,,,,https://www.tel-aviv.gov.il/Residents/Environment/Pages/ParksAndGardens.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/Residents/Environment/Pages/ParksAndGardens.aspx,apple_maps,I401383FF30C969B3,verified,2026-08-05,true,fallback_only
Menachem Begin Park (South Park),menachem-begin-park-south-park,park,32.0415975,34.8022021,"Menachem Begin Park, Tel Aviv-Yafo, Israel",Southeast Tel Aviv,"Large municipal park with open lawns, paths and recreation areas.",,false,true,true,,,,,,,,,,https://www.tel-aviv.gov.il/Residents/Environment/Pages/ParksAndGardens.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/Residents/Environment/Pages/ParksAndGardens.aspx,apple_maps,I126D49B45DBC6DDC,verified,2026-08-05,true,fallback_only
Charles Clore Park,charles-clore-park,park,32.0653054,34.7613465,"Charles Clore Park, Tayelet Shlomo Lahat, Tel Aviv-Yafo, Israel",Neve Tzedek / Coast,"Coastal park with walking and cycling paths, lawns and water fountains.",,false,true,true,,,,,,,,,,https://www.tel-aviv.gov.il/Residents/Environment/Pages/ParksAndGardens.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/Residents/Environment/Pages/ParksAndGardens.aspx,apple_maps,IC4984C6DB289E0E7,verified,2026-08-05,true,fallback_only
Independence Park,independence-park,park,32.0914981,34.7716954,"Independence Park, Tayelet Shlomo Lahat, Tel Aviv-Yafo, Israel",Old North,Seaside urban park with open lawns and paths.,,false,true,true,,,,,,,,,,https://www.tel-aviv.gov.il/Residents/Environment/Pages/ParksAndGardens.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/Residents/Environment/Pages/ParksAndGardens.aspx,apple_maps,I537CDC43E989ADA7,verified,2026-08-05,true,fallback_only
Meir Park,meir-garden,park,32.074081,34.773056,"Tchernikhovsky Street 24, Tel Aviv-Yafo, Israel",City Center,Central urban garden suitable for a short family stop.,,false,true,true,,,,,,,,,,https://www.tel-aviv.gov.il/Residents/Environment/Pages/ParksAndGardens.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/history/Pages/MainItemPage.aspx?ItemID=34&ListID=5c048616-f83a-4569-acb7-e001b3818d6c&WebID=1c946f9b-334d-42dd-8e27-48af21a66855,,,verified,2026-08-05,true,fallback_only
HaPisga Park,hapisga-garden,park,32.0542292,34.7531404,"Old Jaffa, Tel Aviv-Yafo, Israel",Old Jaffa,Hilltop public garden with views over Jaffa and Tel Aviv.,,false,true,true,,,,,,,,,,https://www.tel-aviv.gov.il/Residents/Environment/Pages/ParksAndGardens.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/Visitors/Jaffa/Pages/familytour.aspx,apple_maps,IAA6097B34A85289,verified,2026-08-05,true,fallback_only
Gordon Swimming Pool,gordon-pool,pool,32.0863192,34.7690192,"Eliezer Peri Street 14, Tel Aviv-Yafo, Israel",Old North,Seawater swimming pool complex beside Gordon Beach.,,false,true,false,Admission fees apply; check current rates before visiting.,,,,,,,,,https://www.tel-aviv.gov.il/en/Visit/beaches/Pages/default.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/en/Visit/beaches/Pages/default.aspx,apple_maps,I9024443512FFD817,verified,2026-08-05,true,rights_review_required
Neve Sharet Community Country Club,neve-sharet-country-and-community-center,community_center,32.1176088,34.8436572,"Raoul Wallenberg Street 43, Tel Aviv-Yafo, Israel",Neve Sharet,Municipal country and community center serving families in northeast Tel Aviv.,,true,true,,,,,,,,,,,https://www.tel-aviv.gov.il/Residents/CommunityAndSports/Pages/NeveSharet.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/Residents/CommunityAndSports/Pages/NeveSharet.aspx,apple_maps,IA260ABAF5F7B7F4,verified,2026-08-05,true,rights_review_required
Neot Afeka Community Country Club,neot-afeka-community-country,community_center,32.113795,34.823654,"Kehillat Saloniki Street 6, Tel Aviv-Yafo, Israel",Neot Afeka,Municipal community and sports center in northeast Tel Aviv.,,true,true,,,,,,,,,,,https://www.tel-aviv.gov.il/Residents/CommunityAndSports/Pages/NeotAfeka.aspx?Iccid=280,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/Residents/CommunityAndSports/Pages/NeotAfeka.aspx?Iccid=280,,,verified,2026-08-05,true,rights_review_required
Tzahala Community Country Club,zahala-community-country,community_center,32.124785,34.831917,"Avner ben-Ner Street 1, Tel Aviv-Yafo, Israel",Zahala,Municipal community and sports center in the Zahala area.,,true,true,,,,,,,,,,,https://www.tel-aviv.gov.il/Residents/CommunityAndSports/Pages/countrytzahala.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/Residents/CommunityAndSports/Pages/countrytzahala.aspx,,,verified,2026-08-05,true,rights_review_required
